"vid","date","feed KG","Feed Type"
"D8719","02 Jul 2024",27.13,"silge"
"I5026","02/19/2024",15.73,"silage"
"Y3782","2024-03-08",18.75,"Corn"
"T5602","2024-02-09",17.98,"Corn"
"W8010","2024-10-10",17.18,"corn silage"
"V4575","2024-12-06",21.5,"hay"
"K9325","11/05/2024",21.49,"hay"
"Q711","02-24-2024",13.12,"corn silage"
"E5966","04/30/2024",17.11,"silage"
"H985","12 Jun 2024",14.94,"silage "
"I7447","28 Oct 2024",23.66,"silage "
"J6910","16 Dec 2024",22.58,"silge"
"R3357","01-12-2024",21.49,"silge"
"Q711","2024-01-11",25.69,"Silage"
"C7126","2024-08-03",20.14,"corn"
"Q3500","01/30/2024",20.97," hay "
"E6182","2024-09-10",16.71,"Hay"
"K9325","08-03-2024",26.36,"hay"
"A7863","29 Sep 2024",NA,"corn"
"V3948","14 Mar 2024",18.24," hay "
"A7863","05 Nov 2024",18.55,"silge"
"Z7830","03-10-2024",26.69,"Hay"
"N7280","07/20/2024",16.84,"Hay"
"R3357","2024-07-29",21.4,"Hay"
"E3229","04/11/2024",19.42,"silage "
"L9829","09-07-2024",22.9,"silage "
"Y4092","06-17-2024",22.6,"corn"
"F2131","01 Apr 2024",16.77,"Corn"
"I1385","03 May 2024",12.81,"corn silage"
"O6552","02/17/2024",25.54,"corn"
"R4684","2024-08-24",26.43,"Silage"
"V7756","11/24/2024",18.05,"silage"
"B3068","2024-09-11",24.88,"silage"
"J9639","09-19-2024",21.88,"corn silage"
"I1385","27 Jun 2024",19.31,"silage"
"J6910","12-03-2024",22.18," silage"
"L9829","09 Dec 2024",19.99,"corn silage"
"G2757","23 Nov 2024",22.05,"hay"
"Z3123","2024-07-10",20.8," silage"
"G685","11 Nov 2024",21.33,"Hay"
"W8010","01/16/2024",19.52,"silage "
"T4649","02-16-2024",NA,"Silage"
"H985","2024-03-01",24.3,"silge"
"G2757","11-13-2024",22.28," hay "
"F2131","01 Jun 2024",21.37,"Hay"
"D8719","07/26/2024",20.74,"silage"
"S5427","2024-11-20",19.96,"silge"
"Y9266","05 Oct 2024",15.56,"hay"
"C7126","2024-03-07",17.36,"Silage"
"V9643","10 Mar 2024",23,"silage"
"K3463","01-11-2024",20.63,"silge"
"B3068","2024-08-22",18.47,"Corn"
"N9692","2024-08-12",21.96," silage"
"V472","07/08/2024",16.97,"hay"
"V472","23 Nov 2024",20.61," hay "
"U8535","03-11-2024",17.5,"corn silage"
"F9953","19 Mar 2024",18.12,"corn silage"
"E5966","04/08/2024",21.53," hay "
"V472","07 Jan 2024",18.2,"hay"
"R4684","09-12-2024",19.72,"Hay"
"Z3123","01/13/2024",20.94,"Silage"
"M2207","2024-12-05",16.62,"Hay"
"N9197","2024-07-19",27.14,"corn silage"
"V3979","01 Sep 2024",23.14,"corn silage"
"V7756","2024-09-05",20.89," silage"
"A7863","12-24-2024",14.64,"silage "
"J6077","08-07-2024",23.01,"corn silage"
"V7756","03-13-2024",23.73," hay "
"V3948","11 Aug 2024",21.54,"Silage"
"N9692","05 Sep 2024",21.42,"Corn"
"Q3500","09/03/2024",18.45," hay "
"J9639","2024-07-29",15.02,"silage "
"U6809","02-03-2024",20.67,"silage"
"N9692","07 Jul 2024",25.42," silage"
"Q3500","02 Jul 2024",20.57,"silage "
"V472","11-27-2024",16.51,"corn"
"O194","11/25/2024",29.05,"silage "
"G150","2024-01-16",18.84,"silage "
"Q3500","04-07-2024",21.69,"corn"
"F5883","14 Mar 2024",22.66,"Hay"
"I2506","08/30/2024",18.93,"corn silage"
"J6077","2024-07-12",20.75,"Corn"
"J6910","2024-05-28",18.89,"silage"
"T5602","15 May 2024",20.12," silage"
"F2131","2024-10-15",23.65,"corn silage"
"V9643","2024-12-18",22.88,"Hay"
"U5357","07/25/2024",18.69," silage"
"U1955","12-09-2024",24.32,"silage "
"U6809","01-16-2024",22.45,"silge"
"I7447","09-16-2024",14.73,"silge"
"V3979","2024-06-15",19.86," hay "
"I8517","07 Apr 2024",24.48," silage"
"Y7815","12/13/2024",NA,"hay"
"L9829","2024-07-29",18.4,"Silage"
"Q3500","05-30-2024",22.86," silage"
"Q3500","05-26-2024",21.41,"Silage"
"S5427","22 Nov 2024",17.31," silage"
"V472","07/22/2024",21.61,"silage "
"H9517","11/08/2024",17.75,"Silage"
"P3832","24 Jun 2024",16.86,"corn silage"
"I2506","01-23-2024",13.4,"silage"
"B984","05-18-2024",22.55,"silge"
"E3229","02-15-2024",20.72,"silage "
"G685","2024-03-29",20.81," hay "
"I5026","2024-03-29",24.87,"silage"
"E5966","09-29-2024",16.47," hay "
"V9643","04 Oct 2024",18.36,"silage"
"H2377","23 Jul 2024",17.57," hay "
"E6182","07 Dec 2024",19.64,"silge"
"R5369","10-07-2024",26.73,"silage "
"G8171","11/11/2024",23.32,"Hay"
"F9953","03 Aug 2024",17.28,"hay"
"B3068","01 May 2024",21.83," silage"
"C7126","04/11/2024",16.75,"corn"
"Q711","09-27-2024",17.12," silage"
"F9953","08/20/2024",21.93,"Hay"
"L4232","05-22-2024",23.18,"Hay"
"N9692","05 Feb 2024",19.06,"Corn"
"B3068","2024-01-25",14.35," silage"
"O194","01-05-2024",21.66," hay "
"Q3500","03-21-2024",21.14,"Silage"
"V3948","20 Feb 2024",22.24,"Silage"
"O7477","2024-12-22",15.34,"hay"
"J7734","2024-09-12",23.48,"silage "
"Y3782","03-28-2024",20.84," hay "
"K9325","15 Mar 2024",15.02,"Hay"
"S5427","05/14/2024",NA,"Silage"
"R3357","09-27-2024",20.35,"silage"
"Y7815","08-05-2024",22.96,"Silage"
"U6809","12-08-2024",15.11,"Hay"
"E9760","2024-09-23",22.82,"Silage"
"Q711","02-17-2024",20.04,"Silage"
"M4054","10-07-2024",20.95,"Corn"
"V9643","05-17-2024",17.71," silage"
"B3068","2024-10-10",18.9,"Hay"
"Y7815","05-13-2024",19.25,"silge"
"Q711","2024-01-12",17.96,"Corn"
"Y6643","05/26/2024",19.49,"corn"
"I1385","23 Aug 2024",19.31,"hay"
"E5966","09-20-2024",18.26,"Silage"
"Y4092","2024-02-24",20.4,"Corn"
"Z7830","12/13/2024",24.62,"Hay"
"D9038","04/18/2024",19.52,"silage"
"L9829","30 Oct 2024",14.63," silage"
"L4232","09/10/2024",18.6,"Hay"
"Y9266","2024-11-28",22.63,"silage"
"C4705","08/24/2024",15.97,"silage "
"U1955","06-29-2024",17.19,"silage "
"Q3500","12-23-2024",14.64,"silage "
"A7863","12-04-2024",22.76,"Hay"
"T4649","31 Jan 2024",19.04,"silge"
"R5369","2024-07-21",24.19," silage"
"G150","04-17-2024",24.33,"Hay"
"Y6643","07/21/2024",20.61,"Corn"
"Y9266","06-05-2024",19.24,"hay"
"U5357","02 Feb 2024",19.48," silage"
"H2377","03 Jun 2024",21.56,"silage "
"Q9174","01 Jun 2024",23.15,"corn"
"M2207","11/23/2024",NA,"Corn"
"G685","12/13/2024",24.68,"Silage"
"U1955","02-25-2024",22.9,"Silage"
"G2757","22 Oct 2024",19.85,"hay"
"H9517","03 Mar 2024",15.28,"Corn"
"D8719","2024-12-29",19.03,"corn silage"
"P6677","03-12-2024",15.68,"silge"
"F2131","09/22/2024",NA,"corn"
"M4054","01-15-2024",21.79,"Corn"
"M1583","24 Oct 2024",NA," hay "
"Y9266","05/31/2024",20.92,"Hay"
"T5602","04-13-2024",20.06,"silage "
"R5369","12/13/2024",18.92," hay "
"V9643","09 Feb 2024",17.37,"silge"
"S5427","2024-12-31",13.11,"hay"
"G8171","05/25/2024",20.07,"silage "
"J9639","2024-03-15",20.16," silage"
"D9038","09 May 2024",31.56,"silge"
"G685","07 May 2024",25.01,"silage"
"N9197","05-26-2024",21.89," silage"
"E5966","08/27/2024",17.55," hay "
"O7477","07/12/2024",16.12,"silage"
"V3979","04/30/2024",22.1,"silage "
"O8173","10/23/2024",17.02,"corn"
"G150","2024-08-02",22.56," silage"
"Y9266","09-17-2024",21," silage"
"Y4092","01 May 2024",17.96," silage"
"E3229","09/18/2024",NA," hay "
"V472","2024-04-23",20.54,"Corn"
"Y7815","2024-07-27",18.4,"hay"
"V3979","2024-10-09",20.17,"hay"
"K9325","2024-05-19",18.5,"Silage"
"K3463","2024-04-07",24.41,"silge"
"E3229","2024-05-09",20.68,"corn silage"
"I5026","12-01-2024",19.15,"silage "
"S5427","05/22/2024",18.97,"Hay"
"N9692","03/01/2024",17.22,"silage "
"V7756","04/26/2024",24.46,"Corn"
"J7734","31 May 2024",19.11,"silage "
"C4705","16 Oct 2024",20.59,"corn"
"N9692","10-25-2024",21.16,"hay"
"Y9266","2024-06-16",18.35,"silage "
"Y4775","28 Feb 2024",19.56,"corn silage"
"Z7830","30 Jan 2024",27.25,"silage "
"V3948","05-23-2024",18.55,"corn"
"V3948","08 Nov 2024",18.74,"corn"
"I7447","2024-03-04",23.84,"corn"
"G685","06/23/2024",15.97," hay "
"V472","07/23/2024",20.23,"corn"
"J7734","12/12/2024",23.05,"silge"
"L9829","28 Jul 2024",21.41,"Corn"
"G1028","2024-04-20",22.54,"Silage"
"O194","2024-10-26",18.09,"corn silage"
"Q9174","2024-04-26",22.7,"corn silage"
"P3832","2024-09-09",22.9,"hay"
"I5026","08/14/2024",13.81," silage"
"U1955","2024-11-09",22.01," silage"
"S6386","09/10/2024",18.96,"corn"
"U5357","09 Feb 2024",18.92,"silage "
"K9325","08/07/2024",20.29,"silage"
"S9300","13 Nov 2024",19.27," hay "
"I7447","07-28-2024",21.54,"hay"
"K3463","04-13-2024",24.88,"corn silage"
"O7477","10-04-2024",21.05,"hay"
"F9953","2024-09-08",15.79,"silage"
"G8171","2024-12-11",22.71," silage"
"V3948","2024-06-14",20.54,"silage"
"F9953","10-18-2024",27.76,"hay"
"Z4043","2024-01-15",17.16," hay "
"Y7815","06/25/2024",20.29,"silage "
"Z7830","03 Jun 2024",21.56,"silage "
"F2131","03/12/2024",21.78,"corn"
"J6077","11/08/2024",NA,"Corn"
"K9325","26 Mar 2024",17.53,"corn silage"
"C4705","2024-12-28",23.83," silage"
"Q3500","05-21-2024",16.81,"silge"
"L4232","08-23-2024",20.32,"silage"
"Y7815","03-12-2024",21.6,"silge"
"E3229","15 Sep 2024",22.13,"silage "
"J6910","2024-03-04",26.44,"silage "
"T4649","06-18-2024",14.27,"hay"
"U8535","2024-01-19",18.98,"Silage"
"S9300","06/07/2024",13.8," hay "
"R4684","20 Jun 2024",16.99,"corn silage"
"J6910","04/30/2024",NA,"silage "
"Y4775","2024-04-18",14.18,"Silage"
"S6386","02 Jun 2024",22.37,"silage "
"Y3782","06/05/2024",16.61,"corn"
"M2207","2024-10-21",21.72,"silage "
"B984","03 Jul 2024",17.2,"silage "
"I5026","07 Sep 2024",18.77,"silage"
"N7280","01-04-2024",20.47,"corn silage"
"Q9174","01/10/2024",18.27,"silge"
"M4054","2024-07-26",21.61," hay "
"U5357","07/26/2024",21.71,"Silage"
"Y4775","2024-02-04",19.3,"Hay"
"I5026","24 Apr 2024",14.09,"corn"
"Q9174","01/30/2024",20.66," silage"
"C4705","2024-10-03",14.89,"Corn"
"Y3782","07 Feb 2024",23.38,"Hay"
"M4054","04 May 2024",20.84,"silage"
"J6910","2024-09-09",22.49,"Hay"
"Y6643","26 Aug 2024",21.58,"Silage"
"J9639","02/15/2024",19.98," hay "
"F9953","05 Feb 2024",19.39,"hay"
"M4054","2024-09-22",18.43," silage"
"U5357","10-19-2024",18.21,"hay"
"V9643","2024-06-20",17.74,"Corn"
"I8517","07/14/2024",24.23,"Hay"
"J6077","20 Dec 2024",18.08,"Hay"
"S6097","05-14-2024",20.48,"corn silage"
"B3068","01-11-2024",NA,"silge"
"E6182","04/27/2024",13.27,"corn"
"E5966","08-26-2024",17.53,"Corn"
"K3463","2024-12-26",17.01,"hay"
"Y4775","09/25/2024",20.88,"hay"
"T5602","12-08-2024",19.29,"corn"
"U1955","10-22-2024",19.26," silage"
"W8010","06 Jan 2024",20.95,"silge"
"I5026","01-05-2024",18.78,"silage"
"R4684","12-22-2024",18.78,"Silage"
"G1028","06-24-2024",21.94,"Corn"
"D9038","2024-07-06",15.22,"Corn"
"R5369","2024-07-11",21.18,"corn silage"
"J6910","2024-09-22",17.3,"silage"
"O8173","09 May 2024",16.61,"hay"
"T4649","12/20/2024",20.02,"silage"
"D8719","12/30/2024",23.42," silage"
"V472","18 Aug 2024",22.12," silage"
"H985","08-07-2024",16.98,"corn silage"
"J6910","07-16-2024",23.62,"Hay"
"Q9174","03-01-2024",19.67,"silage"
"Q711","09-27-2024",21.64,"Silage"
"F5883","07/03/2024",NA,"Corn"
"O8173","01 Nov 2024",19.51,"Corn"
"R5369","14 Mar 2024",16.98," silage"
"B984","07-22-2024",21.93,"corn"
"O6552","2024-05-15",18.85,"corn"
"T5602","05/15/2024",14.05," hay "
"W8010","14 Apr 2024",21.18,"silage"
"W8010","05/11/2024",20.36,"silage"
"I7447","2024-04-25",17.78,"corn silage"
"R3357","09/27/2024",22.28,"silage"
"U6809","02 Dec 2024",15.71,"Silage"
"Z3123","08/06/2024",17.47," silage"
"S6097","06-10-2024",20.93,"silage "
"S9300","06/03/2024",16.87,"corn silage"
"S5427","01/13/2024",19.44,"silage"
"O8173","01/25/2024",15.27,"silage"
"E9760","06/29/2024",23.57,"corn silage"
"K4714","29 Jun 2024",25.34,"silge"
"N7280","04/27/2024",23.17,"corn silage"
"O7477","08 Oct 2024",24.33,"silge"
"K4714","10/27/2024",18.23,"hay"
"I7447","05/17/2024",24.24,"corn silage"
"P3832","09-17-2024",21.34,"corn silage"
"V7756","09/18/2024",16.37,"silge"
"V3948","2024-05-28",19.03,"Hay"
"Y4092","21 Mar 2024",24.95," silage"
"I2506","2024-10-08",21.11,"Corn"
"E6182","2024-12-22",20.24,"silage"
"T5602","12-28-2024",23.2,"Hay"
"N7280","16 Dec 2024",16.06,"Corn"
"D8719","2024-08-27",NA,"Silage"
"V3948","2024-11-27",17.42,"corn silage"
"O6552","10-25-2024",14.65,"Corn"
"U5357","06 Oct 2024",20.69,"Hay"
"H985","2024-07-18",23.79," silage"
"L9829","03/05/2024",17.86,"silge"
"M2207","2024-11-13",15.49," silage"
"Y3782","14 Mar 2024",21.88,"Hay"
"V472","04 Jun 2024",17.36,"silage"
"M4054","2024-02-21",18.36,"Corn"
"Y4092","05-30-2024",21.83,"corn silage"
"Y9266","27 Sep 2024",22.04,"silage "
"L4232","06/15/2024",19.05," hay "
"S6386","08 Aug 2024",23.76,"corn"
"M2207","2024-11-06",18.8," silage"
"M2207","26 Mar 2024",22.44,"silage"
"F9953","16 Dec 2024",20.24,"Corn"
"U8535","07-22-2024",23.65,"silage"
"N9197","2024-10-02",22.86,"Silage"
"N9692","13 Mar 2024",20.43,"corn"
"M1583","06/04/2024",19.15," silage"
"K4714","2024-09-15",23.14,"silge"
"S9300","27 Oct 2024",19.37,"Corn"
"N9692","12 Nov 2024",21.79,"Hay"
"H9517","02-29-2024",15.26,"silage "
"Z4043","08-28-2024",21.17,"Silage"
"Y7815","09-07-2024",17.31,"hay"
"J9639","07/20/2024",22.43,"Corn"
"V472","17 Sep 2024",25.1,"Silage"
"P6677","12 Jan 2024",15.36,"silge"
"J6910","12 May 2024",23.07,"corn"
"Z4043","09 Dec 2024",19.25,"silage"
"T4649","02 Mar 2024",16.11,"silage"
"E5966","08 Mar 2024",20.41,"Hay"
"J6910","05/03/2024",21.87,"hay"
"K4714","12/19/2024",16.96,"Corn"
"O8173","04-05-2024",19.51,"Hay"
"G2757","11 Jul 2024",22.9,"silage "
"G2757","03-23-2024",21.04," silage"
"Q711","02/08/2024",20.5,"silage "
"S5427","29 Jan 2024",16.26,"corn"
"S6097","01-05-2024",17.05,"silge"
"G685","26 Jan 2024",21.32," silage"
"H2377","2024-10-10",18.13,"corn"
"I1385","2024-10-29",13.1,"silage"
"E3229","03/10/2024",21.61,"Hay"
"P6677","2024-08-05",25.86,"Corn"
"G2757","07 Aug 2024",23.7,"silge"
"F5883","2024-11-21",18.79,"Hay"
"S6097","2024-09-07",16.3," hay "
"U6809","01-04-2024",19.04,"silge"
"E6182","2024-07-10",21.29," silage"
"E5966","01-22-2024",19.73,"Hay"
"S6386","11/30/2024",20.4,"silage "
"C4705","18 Sep 2024",22.58," silage"
"J6910","26 Feb 2024",17.49,"silage "
"Y6643","2024-03-07",20.86,"corn"
"G150","31 Jul 2024",21.55,"silge"
"J6077","2024-03-14",24.95,"Silage"
"Y7815","04-10-2024",11.22,"silage"
"Q711","08/04/2024",18.8,"hay"
"U8535","11 Apr 2024",11.8,"corn silage"
"M4054","2024-04-01",18.63,"Silage"
"J6910","2024-11-16",NA," silage"
"O7477","2024-06-11",18.98," silage"
"Y4775","2024-10-22",19.1," silage"
"Y3782","01/02/2024",22.23,"silage"
"E9760","2024-06-22",17.89,"corn"
"V7756","10/01/2024",23.65,"hay"
"I5026","11 Dec 2024",23.96,"corn"
"Q9174","10/15/2024",20.42,"silage"
"A7863","03/27/2024",21.31,"corn"
"S9300","2024-06-13",26.04,"hay"
"W8010","07-10-2024",21.88,"silage "
"E3229","03 Aug 2024",19.67,"silage"
"G1028","11/12/2024",21.51,"silage"
"Y4775","2024-11-10",21.49," silage"
"J6077","11/15/2024",15.09," silage"
"Z7830","08-11-2024",21.99," hay "
"K4714","09/25/2024",23.44,"silage "
"P6677","03/13/2024",23.56,"silge"
"J7734","09/12/2024",NA,"Silage"
"I7447","2024-09-29",20.6,"corn"
"V9643","2024-12-16",19.77,"corn"
"Z7830","09/09/2024",20.42,"Silage"
"E6182","01-08-2024",21.9," silage"
"K3463","06/13/2024",15.93,"Silage"
"G685","09/24/2024",25.84,"Corn"
"S6386","05 Dec 2024",21.09," hay "
"Y4092","09-17-2024",20.86,"Silage"
"G685","2024-02-26",22.33,"hay"
"T4649","01 Nov 2024",15.18," hay "
"H2377","08/19/2024",19.44,"Hay"
"I7447","06-27-2024",NA,"corn silage"
"Q711","06-11-2024",19.72,"hay"
"F5883","12 May 2024",19.65,"Hay"
"B984","04/17/2024",18.05,"hay"
"D8719","02/06/2024",22.3," silage"
"Y4092","2024-07-01",18.5,"silge"
"O194","06-02-2024",19.85,"silage "
"Y7815","11 Nov 2024",NA,"silge"
"E3229","2024-07-02",13.45,"silage"
"G685","01-31-2024",20.6,"corn"
"G150","2024-11-03",19.5,"silage "
"I8517","09-21-2024",19.31,"silage"
"L9829","2024-06-29",16.48," silage"
"S6097","29 Sep 2024",18.21,"silage"
"O194","26 Dec 2024",13.73,"corn silage"
"V9643","2024-12-27",19.6," hay "
"J9639","12/22/2024",NA,"Hay"
"T4649","11-14-2024",17.31," silage"
"Q3500","2024-04-05",24.63,"Corn"
"W8010","08-25-2024",22.55,"corn silage"
"G1028","06-03-2024",16.32,"Silage"
"Y4092","2024-10-10",19.49,"silge"
"S9300","04-30-2024",22.59,"Silage"
"R3357","2024-08-10",20.29,"corn silage"
"R4684","09-26-2024",15.71,"Silage"
"V9643","05/20/2024",20.44,"corn"
"E9760","29 Oct 2024",18.1,"corn"
"Y4092","26 Sep 2024",16.93,"Hay"
"K9325","08-18-2024",15.3,"Hay"
"G8171","08-10-2024",21.89,"Hay"
"J6077","20 Jul 2024",21.62," silage"
"J9639","12/14/2024",20.63," silage"
"Z7830","01/09/2024",17.25,"Hay"
"K3463","07-23-2024",20.79," silage"
"C7126","03-18-2024",21.04,"Silage"
"J6910","2024-10-30",20.19,"silage"
"T5602","09 Mar 2024",21.96,"silge"
"V4575","03-30-2024",16.71,"silge"
"E6182","07/23/2024",NA,"Hay"
"N9197","11-29-2024",21.16,"Corn"
"S6386","2024-03-11",19.6," hay "
"D8719","11/10/2024",22.99,"corn"
"O194","15 Nov 2024",13.8," silage"
"F5883","02/14/2024",22.49,"Silage"
"K9325","2024-11-08",17.94,"silage"
"Y7815","02/15/2024",18.36,"silage"
"J9639","03-17-2024",21.57," silage"
"U6809","05/05/2024",13.38,"silage "
"S5427","04/26/2024",19.65,"silge"
"Y7815","04/25/2024",NA," silage"
"H985","06-19-2024",19.37,"Hay"
"V9643","05/22/2024",20.17,"Hay"
"M1583","18 Dec 2024",20.13,"hay"
"Y9266","03 Oct 2024",18.39," hay "
"S6386","06-26-2024",15.16,"silage"
"K4714","12/26/2024",25.19,"corn"
"G2757","08/23/2024",18.36,"silage"
"Y4092","12/02/2024",18.49,"silage"
"V4575","2024-07-04",20.87,"Corn"
"F9953","03-01-2024",16.29,"corn"
"O6552","02-02-2024",14.99,"Corn"
"E6182","11-12-2024",NA,"corn silage"
"R4684","2024-09-01",24.03,"silage "
"V3979","12-02-2024",19,"silage "
"G2757","10-10-2024",24.68,"corn"
"T5602","04-11-2024",19.37,"Corn"
"M2207","2024-05-11",22,"Hay"
"K9325","09/22/2024",19.78,"corn"
"H985","2024-06-23",19.26,"corn"
"G2757","02 Jan 2024",21.49,"hay"
"I7447","08-07-2024",19.7,"Corn"
"Z4043","12/03/2024",16.98," silage"
"D8719","10 Feb 2024",17.48," hay "
"T5602","01 Jan 2024",23.13,"Silage"
"P6677","2024-09-23",15.38,"silge"
"K3463","14 Jan 2024",22.15,"Hay"
"B984","01-08-2024",NA,"silage"
"Z7830","09/20/2024",23.62,"silge"
"Q711","07-17-2024",20.01,"Hay"
"T4649","07/09/2024",17.4,"corn silage"
"O8173","03 Mar 2024",19.3,"Silage"
"Q3500","06-26-2024",11.37,"corn silage"
"V472","11/24/2024",17,"corn silage"
"I1385","06-14-2024",20.69," hay "
"Z4043","2024-11-12",20.25,"Corn"
"V9643","07/31/2024",20.54,"Hay"
"J6910","2024-09-22",17.3,"silage"
"M2207","2024-12-05",16.62,"Hay"
